"cohort_month","total_customers","retained_customers","retention_rate_pct"
"2016-09-01 00:00:00",1,0,0.00
"2016-10-01 00:00:00",262,12,4.58
"2016-12-01 00:00:00",1,1,100.00
"2017-01-01 00:00:00",717,52,7.25
"2017-02-01 00:00:00",1628,66,4.05
"2017-03-01 00:00:00",2503,121,4.83
"2017-04-01 00:00:00",2256,102,4.52
"2017-05-01 00:00:00",3451,182,5.27
"2017-06-01 00:00:00",3037,161,5.30
"2017-07-01 00:00:00",3752,175,4.66
"2017-08-01 00:00:00",4057,191,4.71
"2017-09-01 00:00:00",4004,180,4.50
"2017-10-01 00:00:00",4328,160,3.70
"2017-11-01 00:00:00",7060,223,3.16
"2017-12-01 00:00:00",5338,139,2.60
"2018-01-01 00:00:00",6842,208,3.04
"2018-02-01 00:00:00",6288,236,3.75
"2018-03-01 00:00:00",6774,162,2.39
"2018-04-01 00:00:00",6582,129,1.96
"2018-05-01 00:00:00",6506,109,1.68
"2018-06-01 00:00:00",5878,70,1.19
"2018-07-01 00:00:00",5949,88,1.48
"2018-08-01 00:00:00",6144,34,0.55
